outgoing-link,title
https://www.smu.edu/lyle,Lyle School of Engineering - SMU
http://9ol.es/porter_js_demo.html,Porter Stemmer Online
https://www.smu.edu/EnrollmentServices/Registrar/Enrollment/FinalExamSchedule/Spring2018,Registrar - Spring 2018 Final Exam Schedule - SMU
http://lucene.apache.org/core/,Apache Lucene - Apache Lucene Core
https://en.wikipedia.org/wiki/Stop_words,Stop words - Wikipedia
https://en.wikipedia.org/wiki/Document_classification,Document classification - Wikipedia
http://www.gedpage.com/soundex.html,Free Online Soundex Calculator
https://idp.smu.edu/idp/profile/SAML2/Redirect/SSO;jsessionid=102k81dprrtsi7nr6drslpmur?execution=e1s1,SMU Login Service
https://tartarus.org/martin/PorterStemmer/,Porter Stemming Algorithm
http://oracle.com.edgesuite.net/timeline/oracle/,Oracle Timeline
