doc,word
Doc1,freeman
Doc1,moor
Doc1,smu
Doc1,spring
Doc1,spring
Doc1,freeman
Doc1,l
Doc1,moor
Doc1,phd
Doc1,email
Doc1,fmoore@smu.
Doc1,u
Doc1,spring
Doc1,cse
Doc1,fall
Doc1,cse
Doc1,keep
Doc1,look
Doc1,cours
Doc1,calendar
Doc1,latest
Doc1,inform
Doc1,spring
Doc1,t/th
Doc1,caruth
Doc1,syllabu
Doc1,syllabu
Doc1,content
Doc1,web
Doc1,site
Doc1,sole
Doc1,respons
Doc1,dr
Doc1,freeman
Doc1,moor
Doc1,necessarili
Doc1,repres
Doc1,opinion
Doc1,polici
Doc1,southern
Doc1,methodist
Doc1,univers
Doc1,administr
Doc1,site
Doc1,dr
Doc1,freeman
Doc1,moor
Doc1,may
Doc1,contact
Doc1,fmoore@smu.edu
Doc2,smu
Doc2,cse
Doc2,spring
Doc2,schedul
Doc2,cse
Doc2,preliminari
Doc2,schedul
Doc2,page
Doc2,maintain
Doc2,latest
Doc2,schedul
Doc2,content
Doc2,activ
Doc2,date
Doc2,topic
Doc2,activ
Doc2,jan
Doc2,jan
Doc2,cours
Doc2,overview
Doc2,introduct
Doc2,ir
Doc2,hmwk
Doc2,assign
Doc2,dark
Doc2,web
Doc2,articl
Doc2,jan
Doc2,feb
Doc2,boolean
Doc2,retriev
Doc2,term
Doc2,post
Doc2,list
Doc2,hmwk
Doc2,assign
Doc2,algorithm
Doc2,articl
Doc2,internet
Doc2,advertis
Doc2,porter
Doc2,stemmer
Doc2,feb
Doc2,feb
Doc2,web
Doc2,crawl
Doc2,hmwk
Doc2,due
Doc2,mercat
Doc2,articl
Doc2,feb
Doc2,feb
Doc2,score
Doc2,space
Doc2,model
Doc2,hmwk
Doc2,due
Doc2,hmwk
Doc2,assign
Doc2,project
Doc2,assign
Doc2,figur
Doc2,exampl
Doc2,example2
Doc2,feb
Doc2,feb
Doc2,wildcard
Doc2,spell
Doc2,error
Doc2,levenshtein
Doc2,distanc
Doc2,soundex
Doc2,onlin
Doc2,wordlist
Doc2,permuterm
Doc2,exampl
Doc2,bigram
Doc2,index
Doc2,feb
Doc2,mar
Doc2,index
Doc2,index
Doc2,compress
Doc2,hmwk
Doc2,due
Doc2,similar
Doc2,exampl
Doc2,user
Doc2,agent
Doc2,mar
Doc2,mar
Doc2,catch
Doc2,review
Doc2,exam
Doc2,hmwk4
Doc2,assign
Doc2,distanc
Doc2,student
Doc2,exam1
Doc2,statu
Doc2,mar
Doc2,mar
Doc2,class
Doc2,spring
Doc2,break
Doc2,exampl
Doc2,bad
Doc2,link
Doc2,mar
Doc2,mar
Doc2,score
Doc2,search
Doc2,model
Doc2,project
Doc2,due
Doc2,mar
Doc2,mar
Doc2,evalu
Doc2,inform
Doc2,retriev
Doc2,hmwk
Doc2,due
Doc2,apr
Doc2,apr
Doc2,relev
Doc2,feedback
Doc2,queri
Doc2,expans
Doc2,hmwk
Doc2,assign
Doc2,project
Doc2,assign
Doc2,apr
Doc2,apr
Doc2,text
Doc2,classif
Doc2,apr
Doc2,apr
Doc2,document
Doc2,cluster
Doc2,hmwk
Doc2,due
Doc2,hmwk
Doc2,assign
Doc2,apr
Doc2,apr
Doc2,link
Doc2,analysi
Doc2,may
Doc2,may
Doc2,vector
Doc2,space
Doc2,classif
Doc2,hmwk
Doc2,due
Doc2,may
Doc2,class
Doc2,read
Doc2,day
Doc2,project
Doc2,due
Doc2,may
Doc2,exam
Doc2,ii
Doc2,tuesday
Doc2,may
Doc2,per
Doc2,univers
Doc2,schedul
Doc2,exam
Doc2,ii
Doc3,freeman
Doc3,moor
Doc3,smu
Doc3,fall
Doc3,fall
Doc3,freeman
Doc3,l
Doc3,moor
Doc3,phd
Doc3,email
Doc3,fmoore@lyle.smu.
Doc3,u
Doc3,fall
Doc3,cse
Doc3,spring
Doc3,cse
Doc3,keep
Doc3,look
Doc3,cours
Doc3,calendar
Doc3,latest
Doc3,inform
Doc3,fall
Doc3,m/w
Doc3,caruth
Doc3,syllabu
Doc3,syllabu
Doc3,brief
Doc3,histori
Doc3,databas
Doc3,system
Doc3,articl
Doc3,highlight
Doc3,histori
Doc3,oracl
Doc3,content
Doc3,web
Doc3,site
Doc3,sole
Doc3,respons
Doc3,dr
Doc3,freeman
Doc3,moor
Doc3,necessarili
Doc3,repres
Doc3,opinion
Doc3,polici
Doc3,southern
Doc3,methodist
Doc3,univers
Doc3,administr
Doc3,site
Doc3,dr
Doc3,freeman
Doc3,moor
Doc3,may
Doc3,contact
Doc3,fmoore@lyle.smu.edu
Doc4,cse
Doc4,spring
Doc4,distanc
Doc4,student
Doc4,exam
Doc4,locat
Doc4,cse
Doc4,distanc
Doc4,student
Doc4,exam
Doc4,locat
Doc4,vs
Doc4,proctor
Doc4,number
Doc4,person
Doc4,locat
Doc4,request
Doc4,date
Doc4,henk
Doc4,chri
Doc4,proctor
Doc4,henkel
Doc4,lopez
Doc4,alejandro
Doc4,proctor
Doc4,hua
Doc4,mengli
Doc4,proctor
Doc4,huang
Doc4,tianqi
